FIPS,Table,Line code,Area Name,state,state code,pop1990,pop1995,pop2000,pop2005,GDP_PC90,GDP_PC95,GDP_PC100,GDP_PC105,,,,,,,,,,,,,,,,,
1081,CA04 ,10,Lee,Alabama,1000,87735,99386,115530,125132,0.015686703,0.01941569,0.021911968,0.027526699,,,,,,,,,,,,,,,,,
1083,CA04 ,10,Limestone,Alabama,1000,54357,60076,65912,69759,0.017417902,0.021026778,0.02411673,0.030778687,,,,,,,,,,,,,,,,,
1085,CA04 ,10,Lowndes,Alabama,1000,12668,13092,13487,12903,0.012021099,0.015134734,0.018919536,0.024544596,,,,,,,,,,,,,,,,,
1087,CA04 ,10,Macon,Alabama,1000,24911,24150,24076,22739,0.011680464,0.015597513,0.016919895,0.022376228,,,,,,,,,,,,,,,,,
1089,CA04 ,10,Madison,Alabama,1000,239996,265495,277855,299409,0.022657516,0.025893357,0.031212477,0.038931267,,,,,,,,,,,,,,,,,
1091,CA04 ,10,Marengo,Alabama,1000,23003,23117,22567,21387,0.014548377,0.019101921,0.023064437,0.030024129,,,,,,,,,,,,,,,,,
1093,CA04 ,10,Marion,Alabama,1000,29846,30920,31151,29490,0.013373522,0.018381104,0.020054719,0.027304801,,,,,,,,,,,,,,,,,
1095,CA04 ,10,Marshall,Alabama,1000,71054,78924,82324,84892,0.016831167,0.022372544,0.023330231,0.030846964,,,,,,,,,,,,,,,,,
1097,CA04 ,10,Mobile,Alabama,1000,379167,395664,400028,397909,0.016188209,0.020133398,0.023383581,0.028503027,,,,,,,,,,,,,,,,,
1099,CA04 ,10,Monroe,Alabama,1000,24141,24802,24281,23181,0.014645086,0.018302196,0.021062317,0.026945492,,,,,,,,,,,,,,,,,
1101,CA04 ,10,Montgomery,Alabama,1000,209537,222041,223412,222071,0.020636676,0.02511821,0.029511439,0.038668366,,,,,,,,,,,,,,,,,
1103,CA04 ,10,Morgan,Alabama,1000,100513,107227,111183,112660,0.019546323,0.023815511,0.026943702,0.035035064,,,,,,,,,,,,,,,,,
1105,CA04 ,10,Perry,Alabama,1000,12691,12451,11808,10792,0.011130846,0.014564861,0.018310016,0.024260186,,,,,,,,,,,,,,,,,
1107,CA04 ,10,Pickens,Alabama,1000,20683,20902,20904,19842,0.013154451,0.016901266,0.019843484,0.027125677,,,,,,,,,,,,,,,,,
1109,CA04 ,10,Pike,Alabama,1000,27662,29113,29734,29672,0.015319539,0.019432309,0.022745443,0.032251962,,,,,,,,,,,,,,,,,
1111,CA04 ,10,Randolph,Alabama,1000,19991,21258,22415,22463,0.014180938,0.017028691,0.019473442,0.024690973,,,,,,,,,,,,,,,,,
1113,CA04 ,10,Russell,Alabama,1000,46958,51328,49660,49019,0.014880413,0.018041961,0.0210354,0.027002579,,,,,,,,,,,,,,,,,
1115,CA04 ,10,St. Clair,Alabama,1000,50084,57654,65079,71969,0.014984682,0.019374836,0.023085842,0.030489366,,,,,,,,,,,,,,,,,
1117,CA04 ,10,Shelby,Alabama,1000,100024,122508,144519,171374,0.022367761,0.030101007,0.035648773,0.045783149,,,,,,,,,,,,,,,,,
1119,CA04 ,10,Sumter,Alabama,1000,16153,15911,14748,13631,0.011968403,0.015428495,0.017877881,0.022243419,,,,,,,,,,,,,,,,,
1121,CA04 ,10,Talladega,Alabama,1000,74182,77381,80340,79869,0.014496747,0.017603997,0.020598883,0.030333904,,,,,,,,,,,,,,,,,
1123,CA04 ,10,Tallapoosa,Alabama,1000,38927,40269,41722,40413,0.016538213,0.020938882,0.022991575,0.028572171,,,,,,,,,,,,,,,,,
1125,CA04 ,10,Tuscaloosa,Alabama,1000,151095,160396,165192,170759,0.017575097,0.022022027,0.026506605,0.034437404,,,,,,,,,,,,,,,,,
1127,CA04 ,10,Walker,Alabama,1000,67642,69262,70683,69125,0.016657998,0.020098008,0.022430822,0.029819997,,,,,,,,,,,,,,,,,
1129,CA04 ,10,Washington,Alabama,1000,16702,17437,18113,17416,0.014529776,0.017558306,0.01970504,0.023362356,,,,,,,,,,,,,,,,,
1131,CA04 ,10,Wilcox,Alabama,1000,13506,13557,12980,12643,0.011126272,0.014257228,0.017184929,0.020355797,,,,,,,,,,,,,,,,,
1133,CA04 ,10,Winston,Alabama,1000,22113,23490,24882,24216,0.014125111,0.01990121,0.020655285,0.026237698,,,,,,,,,,,,,,,,,
2010,CA04 ,10,Aleutian Islands Census Area,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2013,CA04 ,10,Aleutians East Borough,Alaska,2000,2477,2619,2686,2642,0.034151551,0.030517499,0.032711268,0.046491583,,,,,,,,,,,,,,,,,
2016,CA04 ,10,Aleutians West Census Area,Alaska,2000,9599,5964,5435,5349,0.039039601,0.04050481,0.030401808,0.046229798,,,,,,,,,,,,,,,,,
2020,CA04 ,10,Anchorage Municipality,Alaska,2000,227614,251981,260526,276164,0.047572504,0.042549501,0.048601767,0.067740631,,,,,,,,,,,,,,,,,
2050,CA04 ,10,Bethel Census Area,Alaska,2000,13717,15116,16102,17024,0.026090063,0.025620007,0.027947621,0.04092356,,,,,,,,,,,,,,,,,
2060,CA04 ,10,Bristol Bay Borough,Alaska,2000,1388,1144,1230,1105,0.061698047,0.055934268,0.049984617,0.067906996,,,,,,,,,,,,,,,,,
2068,CA04 ,10,Denali Borough,Alaska,2000,(N),1940,1892,1837,#VALUE!,0.036997835,0.05364215,0.075616297,,,,,,,,,,,,,,,,,
2070,CA04 ,10,Dillingham Census Area,Alaska,2000,5705,4540,4922,4936,0.032980886,0.033185675,0.038096582,0.050118384,,,,,,,,,,,,,,,,,
2090,CA04 ,10,Fairbanks North Star Borough,Alaska,2000,78067,81941,82769,94561,0.036548682,0.034337471,0.040140721,0.051806836,,,,,,,,,,,,,,,,,
2100,CA04 ,10,Haines Borough,Alaska,2000,2117,2307,2397,2218,0.048334264,0.040899348,0.045837178,0.066812501,,,,,,,,,,,,,,,,,
2110,CA04 ,10,Juneau City and Borough,Alaska,2000,27046,29479,30670,30843,0.049230723,0.047033141,0.050160242,0.064975181,,,,,,,,,,,,,,,,,
2122,CA04 ,10,Kenai Peninsula Borough,Alaska,2000,41125,46719,49648,51529,0.039895026,0.035739777,0.040636025,0.051172417,,,,,,,,,,,,,,,,,
2130,CA04 ,10,Ketchikan Gateway Borough,Alaska,2000,13956,14781,13985,13173,0.052097511,0.04700548,0.049597962,0.068125867,,,,,,,,,,,,,,,,,
2150,CA04 ,10,Kodiak Island Borough,Alaska,2000,13381,14481,13955,12964,0.040434335,0.033470057,0.038572479,0.055794846,,,,,,,,,,,,,,,,,
2164,CA04 ,10,Lake and Peninsula Borough,Alaska,2000,(N),1832,1809,1554,#VALUE!,0.024236607,0.030384427,0.043509718,,,,,,,,,,,,,,,,,
2170,CA04 ,10,Matanuska-Susitna Borough,Alaska,2000,40148,49897,59848,74964,0.035719045,0.033309598,0.037397859,0.051370197,,,,,,,,,,,,,,,,,
2180,CA04 ,10,Nome Census Area,Alaska,2000,8315,8922,9171,9380,0.028326585,0.028447821,0.0309011,0.044115952,,,,,,,,,,,,,,,,,
2185,CA04 ,10,North Slope Borough,Alaska,2000,6048,7108,7369,6756,0.045091043,0.042439715,0.043233862,0.071892531,,,,,,,,,,,,,,,,,
2188,CA04 ,10,Northwest Arctic Borough,Alaska,2000,6147,6692,7220,7379,0.028775357,0.027495463,0.03195457,0.044297405,,,,,,,,,,,,,,,,,
2201,CA04 ,10,Prince of Wales-Outer Ketchikan Census Area,Alaska,2000,6280,6639,6126,5585,0.034148952,0.028026808,0.030286985,0.038518742,,,,,,,,,,,,,,,,,
2220,CA04 ,10,Sitka City and Borough,Alaska,2000,8653,8947,8833,8956,0.041739721,0.036493805,0.041958275,0.054676578,,,,,,,,,,,,,,,,,
2231,CA04 ,10,Skagway-Yakutat-Angoon Census Area,Alaska,2000,4418,(N),(N),(N),0.038938359,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2232,CA04 ,10,Skagway-Hoonah-Angoon Census Area,Alaska,2000,(N),3800,3429,3173,#VALUE!,0.033070414,0.04203111,0.055909664,,,,,,,,,,,,,,,,,
2240,CA04 ,10,Southeast Fairbanks Census Area,Alaska,2000,5765,6345,6170,6427,0.031528893,0.029674883,0.032797905,0.057025855,,,,,,,,,,,,,,,,,
2261,CA04 ,10,Valdez-Cordova Census Area,Alaska,2000,10024,10287,10220,9805,0.04476206,0.039113507,0.043375244,0.059039606,,,,,,,,,,,,,,,,,
2270,CA04 ,10,Wade Hampton Census Area,Alaska,2000,5816,6496,7042,7455,0.019240256,0.01651181,0.02029028,0.026814981,,,,,,,,,,,,,,,,,
2280,CA04 ,10,Wrangell-Petersburg Census Area,Alaska,2000,7036,6958,6679,6095,0.044546237,0.035501464,0.04024238,0.056883911,,,,,,,,,,,,,,,,,
2282,CA04 ,10,Yakutat City and Borough,Alaska,2000,(N),870,802,678,#VALUE!,0.035252991,0.041963011,0.057938378,,,,,,,,,,,,,,,,,
2290,CA04 ,10,Yukon-Koyukuk Census Area,Alaska,2000,8448,6607,6493,6073,0.026550278,0.026065201,0.027904174,0.042681686,,,,,,,,,,,,,,,,,
2901,CA04 ,10,Aleutian Islands Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2903,CA04 ,10,Angoon Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2904,CA04 ,10,Barrow-North Slope Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2905,CA04 ,10,Bethel Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2907,CA04 ,10,Bristol Bay Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2908,CA04 ,10,Cordova-McCarthy Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2910,CA04 ,10,Haines Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2912,CA04 ,10,Kenai-Cook Inlet Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2916,CA04 ,10,Kuskokwim Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2919,CA04 ,10,Outer Ketchikan Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2920,CA04 ,10,Prince of Wales Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2921,CA04 ,10,Seward Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2922,CA04 ,10,Sitka Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2923,CA04 ,10,Skagway-Yakutat Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2924,CA04 ,10,Southeast Fairbanks Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2925,CA04 ,10,Upper Yukon Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2926,CA04 ,10,Valdez-Chitina-Whittier Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2928,CA04 ,10,Wrangell-Petersburg Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
2929,CA04 ,10,Yukon-Koyukuk Division,Alaska,2000,(N),(N),(N),(N),#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,
4001,CA04 ,10,Apache,Arizona,4000,61939,68274,69517,68261,0.009756293,0.012757742,0.016219336,0.022445674,,,,,,,,,,,,,,,,,
4003,CA04 ,10,Cochise,Arizona,4000,97918,112480,118013,125498,0.015859516,0.019021164,0.023605151,0.031860945,,,,,,,,,,,,,,,,,
4005,CA04 ,10,Coconino,Arizona,4000,97106,110954,116703,124653,0.015880489,0.020794203,0.027276789,0.033214897,,,,,,,,,,,,,,,,,
4007,CA04 ,10,Gila,Arizona,4000,40423,47074,51359,50894,0.015419804,0.019081324,0.022666712,0.028951857,,,,,,,,,,,,,,,,,
4009,CA04 ,10,Graham,Arizona,4000,26611,30587,33542,32617,0.011686603,0.01474006,0.016907503,0.022851253,,,,,,,,,,,,,,,,,
4011,CA04 ,10,Greenlee,Arizona,4000,8029,8920,8541,7291,0.015474534,0.021193374,0.02417531,0.030764343,,,,,,,,,,,,,,,,,
4012,CA04 ,10,La Paz,Arizona,4000,13964,16562,19644,19906,0.014925574,0.01715967,0.018755169,0.024501049,,,,,,,,,,,,,,,,,
4013,CA04 ,10,Maricopa,Arizona,4000,2132249,2598183,3097500,3636250,0.021788618,0.02698689,0.034661064,0.039778134,,,,,,,,,,,,,,,,,
4015,CA04 ,10,Mohave,Arizona,4000,95491,130274,156180,185843,0.01704143,0.018433476,0.022269318,0.026433504,,,,,,,,,,,,,,,,,
4017,CA04 ,10,Navajo,Arizona,4000,77921,88432,97873,106966,0.011548092,0.014593564,0.017360293,0.022193198,,,,,,,,,,,,,,,,,
4019,CA04 ,10,Pima,Arizona,4000,668844,768212,848549,947533,0.018351676,0.023529872,0.028912042,0.034608786,,,,,,,,,,,,,,,,,
4021,CA04 ,10,Pinal,Arizona,4000,116867,145863,181276,237154,0.013982568,0.017222849,0.0211326,0.026817025,,,,,,,,,,,,,,,,,
4023,CA04 ,10,Santa Cruz,Arizona,4000,29854,35007,38522,40997,0.013761942,0.016598063,0.020200967,0.025235314,,,,,,,,,,,,,,,,,
4025,CA04 ,10,Yavapai,Arizona,4000,108818,139901,168878,197367,0.017206203,0.021244871,0.025310559,0.030455364,,,,,,,,,,,,,,,,,
4027,CA04 ,10,Yuma,Arizona,4000,108063,131776,160713,180009,0.015785689,0.020787857,0.019748599,0.024872947,,,,,,,,,,,,,,,,,
5001,CA04 ,10,Arkansas,Arkansas,5000,21666,21128,20674,19848,0.016456341,0.023245056,0.02452897,0.032736779,,,,,,,,,,,,,,,,,
5003,CA04 ,10,Ashley,Arkansas,5000,24283,24475,24160,22807,0.015353392,0.021108173,0.023978681,0.027978813,,,,,,,,,,,,,,,,,
5005,CA04 ,10,Baxter,Arkansas,5000,31317,36313,38465,40248,0.017202217,0.021430985,0.025054406,0.029813048,,,,,,,,,,,,,,,,,
5007,CA04 ,10,Benton,Arkansas,5000,98524,126211,154778,186753,0.018604909,0.023751697,0.028460644,0.035261698,,,,,,,,,,,,,,,,,
5009,CA04 ,10,Boone,Arkansas,5000,28360,32031,34051,35385,0.016201799,0.019833359,0.023496736,0.028038343,,,,,,,,,,,,,,,,,
5011,CA04 ,10,Bradley,Arkansas,5000,11808,12248,12603,12173,0.015938495,0.019296214,0.020741963,0.025664019,,,,,,,,,,,,,,,,,
5013,CA04 ,10,Calhoun,Arkansas,5000,5821,5836,5717,5533,0.01365748,0.016631352,0.020942759,0.025705968,,,,,,,,,,,,,,,,,
5015,CA04 ,10,Carroll,Arkansas,5000,18770,23282,25403,26756,0.015965928,0.019244516,0.020830434,0.024748836,,,,,,,,,,,,,,,,,
5017,CA04 ,10,Chicot,Arkansas,5000,15630,15176,14084,12729,0.012088993,0.016934449,0.019529142,0.024444201,,,,,,,,,,,,,,,,,
5019,CA04 ,10,Clark,Arkansas,5000,21440,23223,23511,23172,0.014126977,0.018083307,0.021391042,0.026956343,,,,,,,,,,,,,,,,,
5021,CA04 ,10,Clay,Arkansas,5000,18096,17866,17542,16478,0.013309114,0.017931764,0.020664979,0.024697,,,,,,,,,,,,,,,,,
5023,CA04 ,10,Cleburne,Arkansas,5000,19520,22075,24113,25072,0.014990712,0.019575842,0.024731373,0.029541687,,,,,,,,,,,,,,,,,
5025,CA04 ,10,Cleveland,Arkansas,5000,7764,8167,8544,8733,0.013438267,0.019111985,0.023645844,0.030253195,,,,,,,,,,,,,,,,,
5027,CA04 ,10,Columbia,Arkansas,5000,25691,25974,25566,24581,0.01578738,0.020602692,0.024776402,0.031181229,,,,,,,,,,,,,,,,,
5029,CA04 ,10,Conway,Arkansas,5000,19171,19966,20321,20436,0.014910416,0.019970813,0.024594802,0.028678304,,,,,,,,,,,,,,,,,
5031,CA04 ,10,Craighead,Arkansas,5000,69356,75856,82520,87408,0.015964782,0.020816293,0.024711453,0.029797929,,,,,,,,,,,,,,,,,
5033,CA04 ,10,Crawford,Arkansas,5000,42768,48584,53378,56903,0.013384007,0.017582287,0.021382035,0.026248262,,,,,,,,,,,,,,,,,
5035,CA04 ,10,Crittenden,Arkansas,5000,49959,49833,50977,51440,0.014712005,0.019268187,0.022490405,0.028288563,,,,,,,,,,,,,,,,,
5037,CA04 ,10,Cross,Arkansas,5000,19232,19299,19476,19216,0.013096305,0.018999188,0.01993795,0.023755974,,,,,,,,,,,,,,,,,
5039,CA04 ,10,Dallas,Arkansas,5000,9605,9660,9158,8471,0.015425988,0.019749667,0.022655834,0.027983111,,,,,,,,,,,,,,,,,
5041,CA04 ,10,Desha,Arkansas,5000,16794,15890,15307,14117,0.012586778,0.01822898,0.019973526,0.024762303,,,,,,,,,,,,,,,,,
5043,CA04 ,10,Drew,Arkansas,5000,17378,18334,18703,18711,0.013433643,0.019218872,0.021890549,0.026734101,,,,,,,,,,,,,,,,,
5045,CA04 ,10,Faulkner,Arkansas,5000,60503,73432,86458,98564,0.016318852,0.022051255,0.025542684,0.030186775,,,,,,,,,,,,,,,,,
5047,CA04 ,10,Franklin,Arkansas,5000,14939,16568,17747,17982,0.013842002,0.019276281,0.022111979,0.027896482,,,,,,,,,,,,,,,,,
5049,CA04 ,10,Fulton,Arkansas,5000,10093,10897,11656,11735,0.011273985,0.014586266,0.018442691,0.023074226,,,,,,,,,,,,,,,,,
5051,CA04 ,10,Garland,Arkansas,5000,73563,82015,88348,93197,0.018530197,0.023931366,0.027269144,0.032806996,,,,,,,,,,,,,,,,,
5053,CA04 ,10,Grant,Arkansas,5000,13976,15277,16488,17260,0.015873638,0.020147629,0.025204217,0.030564368,,,,,,,,,,,,,,,,,
5055,CA04 ,10,Greene,Arkansas,5000,31891,34852,37505,39129,0.013667379,0.01836053,0.021806319,0.025840187,,,,,,,,,,,,,,,,,
5057,CA04 ,10,Hempstead,Arkansas,5000,21680,22813,23557,22999,0.013527417,0.018409228,0.021267521,0.025593297,,,,,,,,,,,,,,,,,
5059,CA04 ,10,Hot Spring,Arkansas,5000,26122,28374,30384,31016,0.014045427,0.017370801,0.020867517,0.025890513,,,,,,,,,,,,,,,,,
5061,CA04 ,10,Howard,Arkansas,5000,13594,14093,14252,14297,0.016373982,0.022030608,0.023985174,0.028058168,,,,,,,,,,,,,,,,,
5063,CA04 ,10,Independence,Arkansas,5000,31176,33131,34269,34270,0.015771363,0.020041926,0.023231186,0.030081415,,,,,,,,,,,,,,,,,
5065,CA04 ,10,Izard,Arkansas,5000,11399,12687,13276,13126,0.014311751,0.016439249,0.019433534,0.024149677,,,,,,,,,,,,,,,,,
5067,CA04 ,10,Jackson,Arkansas,5000,19013,18621,18351,17512,0.01405938,0.019487839,0.021567917,0.026388659,,,,,,,,,,,,,,,,,
5069,CA04 ,10,Jefferson,Arkansas,5000,85473,85395,84219,80803,0.015734543,0.019336194,0.022335295,0.02803107,,,,,,,,,,,,,,,,,
5071,CA04 ,10,Johnson,Arkansas,5000,18305,20984,22795,23843,0.013187929,0.01796885,0.020286758,0.024073807,,,,,,,,,,,,,,,,,
5073,CA04 ,10,Lafayette,Arkansas,5000,9588,9166,8527,7934,0.012515592,0.015980371,0.02009493,0.024730496,,,,,,,,,,,,,,,,,
5075,CA04 ,10,Lawrence,Arkansas,5000,17430,17794,17678,17030,0.012639628,0.017414452,0.019540753,0.023794451,,,,,,,,,,,,,,,,,
5077,CA04 ,10,Lee,Arkansas,5000,12982,12680,12528,11263,0.011099161,0.014852476,0.01684049,0.02236003,,,,,,,,,,,,,,,,,
5079,CA04 ,10,Lincoln,Arkansas,5000,13721,14152,14474,14100,0.010010185,0.014671157,0.016835287,0.021853878,,,,,,,,,,,,,,,,,
5081,CA04 ,10,Little River,Arkansas,5000,14002,13633,13611,12950,0.016718873,0.020633293,0.023419563,0.028145082,,,,,,,,,,,,,,,,,
5083,CA04 ,10,Logan,Arkansas,5000,20574,21577,22504,22575,0.014045099,0.018426029,0.020683035,0.024763045,,,,,,,,,,,,,,,,,
5085,CA04 ,10,Lonoke,Arkansas,5000,39468,46075,53125,59703,0.016075251,0.021943253,0.025071702,0.03011351,,,,,,,,,,,,,,,,,
